Date,Fare,Fuel,Fare_Change,Fare_OLS_Pred
2010-02-28,60.7,76.36,0.01675041876046901,93.3631600641272
2010-03-31,65.4,80.37,0.07742998352553543,92.51177199802095
2010-04-30,64.7,86.19,-0.010703363914373099,91.2760915629241
2010-05-31,68.6,73.0,0.06027820710973719,94.07654258335837
2010-06-30,75.5,74.94,0.10058309037900881,93.66464910499276
2010-07-31,82.7,77.5,0.09536423841059616,93.12111956653092
2010-08-31,96.1,75.51,0.16203143893591276,93.54362885619462
2010-09-30,69.4,80.77,-0.27783558792924024,92.42684550763629
2010-10-31,71.3,82.47,0.027377521613832778,92.06590792350147
2010-11-30,66.7,86.02,-0.06451612903225801,91.31218532133758
2010-12-31,94.6,93.23,0.41829085457271353,89.78138533215402
2011-01-31,65.4,98.97,-0.3086680761099365,88.5626901951341
2011-02-28,66.7,112.27,0.019877675840978437,85.73888438984403
2011-03-31,68.1,116.94,0.020989505247376083,84.74736761460309
2011-04-30,87.9,126.59,0.29074889867841436,82.69851603407308
2011-05-31,78.1,117.18,-0.11149032992036412,84.69641172037228
2011-06-30,84.7,111.71,0.08450704225352124,85.85778147638257
2011-07-31,93.1,115.93,0.09917355371900816,84.96180700282436
2011-08-31,103.5,116.48,0.11170784103114939,84.84503307854544
2011-09-30,81.6,105.42,-0.2115942028985508,87.1932505376814
2011-10-31,76.7,108.43,-0.060049019607843035,86.5541786975368
2011-11-30,70.9,111.22,-0.07561929595827899,85.96181642710377
2011-12-31,99.9,108.09,0.40902679830747535,86.62636621436377
2012-01-31,71.6,110.26,-0.28328328328328334,86.16564000402697
2012-02-29,70.5,122.23,-0.015363128491620026,83.62421477926591
2012-03-31,73.6,123.41,0.04397163120567371,83.37368163263116
2012-04-30,79.0,118.66,0.07336956521739135,84.38218370594903
2012-05-31,80.1,103.86,0.013924050632911245,87.52446385018159
2012-06-30,86.0,94.17,0.07365792759051204,89.58180807975006
2012-07-31,104.6,105.93,0.2162790697674417,87.08496926244095
2012-08-31,115.3,113.93,0.10229445506692159,85.38643945474769
2012-09-30,86.3,111.36,-0.25151777970511713,85.93209215546915
2012-10-31,83.3,109.89,-0.03476245654692933,86.24419700763278
2012-11-30,76.4,110.84,-0.08283313325330122,86.0424965929692
2012-12-31,93.1,110.8,0.21858638743455483,86.05098924200767
2013-01-31,74.0,115.55,-0.20515574650912993,85.04248716868979
2013-02-28,80.8,112.2,0.09189189189189184,85.75374652566134
2013-03-31,85.1,108.46,0.053217821782178154,86.54780921075796
2013-04-30,79.6,101.53,-0.06462984723854293,88.01916065667226
2013-05-31,97.1,100.43,0.21984924623115587,88.25270850523007
2013-06-30,94.4,102.49,-0.02780638516992784,87.81533707974906
2013-07-31,107.5,107.89,0.13877118644067798,86.6688294595561
2013-08-31,117.6,115.97,0.09395348837209294,84.9533143537859
2013-09-30,95.5,107.85,-0.18792517006802723,86.67732210859457
2013-10-31,84.8,107.53,-0.11204188481675392,86.7452633009023
2013-11-30,77.9,111.07,-0.08136792452830177,85.99366386099803
2013-12-31,93.3,109.95,0.19768934531450566,86.23145803407508
2014-01-31,76.0,108.16,-0.18542336548767413,86.61150407854646
2014-02-28,78.5,108.98,0.03289473684210531,86.4374047732579
2014-03-31,80.0,105.95,0.019108280254777066,87.08072293792172
2014-04-30,94.4,108.63,0.18000000000000016,86.51171545234448
2014-05-31,91.3,109.21,-0.03283898305084754,86.38857204128671
2014-06-30,97.7,111.03,0.07009857612267267,86.00215651003649
2014-07-31,111.4,104.94,0.1402251791197544,87.29516232614299
2014-08-31,124.0,101.12,0.11310592459605018,88.10621030931654
2014-09-30,97.1,94.67,-0.21693548387096784,89.47564996676923
2014-10-31,91.2,84.17,-0.06076210092687939,91.70497033936665
2014-11-30,80.0,71.89,-0.1228070175438597,94.31221359417582
2014-12-31,95.4,55.27,0.19250000000000012,97.8409092696586
2015-01-31,79.1,47.52,-0.17085953878406723,99.48636002086144
2015-02-28,83.3,61.89,0.053097345132743445,96.43537585379241
2015-03-31,85.5,53.69,0.026410564225690214,98.17636890667801
2015-04-30,89.3,63.9,0.04444444444444451,96.00862023960947
2015-05-31,98.6,63.16,0.10414333706606937,96.1657342468211
2015-06-30,98.9,60.31,0.0030425963488844854,96.77083549081183
2015-07-31,120.3,53.29,0.21638018200202214,98.26129539706268
2015-08-31,137.0,47.97,0.1388196176226102,99.3908177191787
2015-09-30,109.0,47.29,-0.2043795620437956,99.53519275283263
2015-10-31,95.2,48.0,-0.12660550458715591,99.38444823239985
2015-11-30,82.8,43.73,-0.13025210084033623,100.29103851725614
2015-12-31,120.9,36.61,0.46014492753623193,101.80273004610315
2016-01-31,77.6,33.14,-0.3581472291149711,102.53946735019011
2016-02-29,82.0,35.92,0.05670103092783507,101.94922824201669
2016-03-31,100.8,36.75,0.2292682926829268,101.77300577446852
2016-04-30,86.4,45.64,-0.1428571428571428,99.88551452566936
2016-05-31,89.8,49.26,0.03935185185185186,99.11692978768816
2016-06-30,99.5,48.05,0.10801781737193772,99.37383242110177
2016-07-31,115.3,40.76,0.1587939698492462,100.92161770836226
2016-08-31,131.9,47.94,0.14397224631396366,99.39718720595755
2016-09-30,100.0,48.24,-0.24184988627748294,99.33349233816905
